,dipm_atom_x,dipm_atom_y,dipm_atom_z,dipm_delta_x,dipm_delta_y,dipm_delta_z,delta dipm only mull x,delta dipm only mull y,delta dipm only mull z
0,0.0,0.0,-0.21245312,0.0,0.0,-1.31e-06,0.0,0.0,-0.47242989
1,0.0,0.0,0.21245312,0.0,0.0,1.31e-06,0.0,0.0,0.47242989
