Atom Number, x_dipm, y_dipm, z_dipm,x_ext_dipm,y_ext_dipm,z_ext_dipm
 1,  0.00000000,  0.00000000, -0.26999274,  0.00000000,  0.00000000, -0.00399711
 1,  0.00000000,  0.00000000,  0.26999274,  0.00000000,  0.00000000,  0.00399711
