Atom,w_dens,w_xtb_tot,w_alpha,coordination number,delta coordination number,atomic partial charges,delta partial charges,dipm_atom_x,dipm_atom_y,dipm_atom_z,dipm_delta_x,dipm_delta_y,dipm_delta_z,qm_atom_xx,qm_atom_yy,qm_atom_zz,qm_atom_xy,qm_atom_yz,qm_atom_zx,qm_delta_xx,qm_delta_yy,qm_delta_zz,qm_delta_xy,qm_delta_yz,qm_delta_zx,delta dipm only mull x,delta dipm only mull y,delta dipm only mull z,delta qm only mull xx, delta qm only mull yy, delta qm only mull zz,delta dipm only Z x, delta dipm only Z y, delta dipm only Z z,delta qm only Z xx,delta qm only Z yy, delta qm only Z zz,response (a.u.),gap (eV),chem.pot (eV),HOAO (eV),LUAO (eV),E_repulsion,E_EHT, E_disp_2,E_disp_3,E_ies_ixc,E_aes, E_tot,E_axc, chem_pot_ext,e_gap_ext,ehoao_ext,eluao_ext
 1,  0.50000000,  0.50000000,  0.50000000,  0.99998771,  0.99997542, -0.00000000, -0.00000000,  0.00000000,  0.00000000, -0.21245312,  0.00000000,  0.00000000, -0.00000131,  0.06006388,  0.00000000,  0.06006388,  0.00000000,  0.00000000, -0.12012776, -0.04030505,  0.00000000, -0.04030505,  0.00000000,  0.00000000,  0.08061009,    0.00000000,    0.00000000,   -0.47242989,    0.18288509,    0.00000000,    0.18288509,    0.00000000,    0.00000000,    0.47242858,   -0.22319014,    0.00000000,   -0.22319014,    0.00015270,   40.45880248,    6.28711112,  -13.94229012,   26.51651236,    0.07984259,   -0.53588279,   -0.00002609,    0.00000000,    0.00000000,    0.00165066,   -0.90379672,    0.00251727,    6.28711112,   40.45880248,  -13.94229012,   26.51651236
 1,  0.50000000,  0.50000000,  0.50000000,  0.99998771,  0.99997542,  0.00000000,  0.00000000,  0.00000000,  0.00000000,  0.21245312,  0.00000000,  0.00000000,  0.00000131,  0.06006388,  0.00000000,  0.06006388,  0.00000000,  0.00000000, -0.12012776, -0.04030505,  0.00000000, -0.04030505,  0.00000000,  0.00000000,  0.08061009,    0.00000000,    0.00000000,    0.47242989,    0.00000000,    0.00000000,   -0.36577018,    0.00000000,    0.00000000,   -0.47242858,    0.00000000,    0.00000000,    0.44638028,    0.00015270,   40.45880248,    6.28711112,  -13.94229012,   26.51651236,    0.07984259,   -0.53588279,   -0.00002609,    0.00000000,    0.00000000,    0.00165066,   -0.90379672,    0.00251727,    6.28711112,   40.45880248,  -13.94229012,   26.51651236
